word,count_1996,count_2024,freq_1996,freq_2024,log_ratio_2024_vs_1996
tour,0,1,0.00000000,0.00000334,0.000003
toure,0,1,0.00000000,0.00000334,0.000003
tourism,0,1,0.00000000,0.00000334,0.000003
tournament,0,1,0.00000000,0.00000334,0.000003
tours,0,6,0.00000000,0.00002003,0.000020
toward,0,64,0.00000000,0.00021363,0.000214
towards,0,26,0.00000000,0.00008679,0.000087
towed,0,1,0.00000000,0.00000334,0.000003
towers,0,1,0.00000000,0.00000334,0.000003
towing,0,2,0.00000000,0.00000668,0.000007
towns,0,2,0.00000000,0.00000668,0.000007
townsend,0,3,0.00000000,0.00001001,0.000010
township,0,1,0.00000000,0.00000334,0.000003
toxic,0,10,0.00000000,0.00003338,0.000033
toxicity,0,3,0.00000000,0.00001001,0.000010
toxicology,0,2,0.00000000,0.00000668,0.000007
toy,0,6,0.00000000,0.00002003,0.000020
toys,0,1,0.00000000,0.00000334,0.000003
tpp,0,10,0.00000000,0.00003338,0.000033
tps,0,1,0.00000000,0.00000334,0.000003
tr,0,2,0.00000000,0.00000668,0.000007
trabecular,0,4,0.00000000,0.00001335,0.000013
trace,0,18,0.00000000,0.00006008,0.000060
tracers,0,1,0.00000000,0.00000334,0.000003
traces,0,20,0.00000000,0.00006676,0.000067
tracing,0,15,0.00000000,0.00005007,0.000050
track,0,17,0.00000000,0.00005675,0.000057
tracker,0,1,0.00000000,0.00000334,0.000003
tracking,0,14,0.00000000,0.00004673,0.000047
tracks,0,5,0.00000000,0.00001669,0.000017
tract,0,1,0.00000000,0.00000334,0.000003
tractability,0,1,0.00000000,0.00000334,0.000003
traction,0,1,0.00000000,0.00000334,0.000003
tractions,0,2,0.00000000,0.00000668,0.000007
trade,1,77,0.00026144,0.00025702,-0.000004
trademarks,0,2,0.00000000,0.00000668,0.000007
tradeoff,0,1,0.00000000,0.00000334,0.000003
tradeoffs,0,9,0.00000000,0.00003004,0.000030
traders,0,1,0.00000000,0.00000334,0.000003
trading,0,11,0.00000000,0.00003672,0.000037
tradition,0,19,0.00000000,0.00006342,0.000063
traditional,0,66,0.00000000,0.00022031,0.000220
traditionally,0,4,0.00000000,0.00001335,0.000013
traditions,0,25,0.00000000,0.00008345,0.000083
traffic,0,8,0.00000000,0.00002670,0.000027
tragedy,0,3,0.00000000,0.00001001,0.000010
tragic,0,1,0.00000000,0.00000334,0.000003
train,0,5,0.00000000,0.00001669,0.000017
trained,0,1,0.00000000,0.00000334,0.000003
trainees,0,1,0.00000000,0.00000334,0.000003
traineeships,0,1,0.00000000,0.00000334,0.000003
training,2,86,0.00052288,0.00028707,-0.000236
trainings,0,2,0.00000000,0.00000668,0.000007
trains,0,2,0.00000000,0.00000668,0.000007
traits,0,2,0.00000000,0.00000668,0.000007
trajectories,0,9,0.00000000,0.00003004,0.000030
trajectory,0,9,0.00000000,0.00003004,0.000030
trancik,0,3,0.00000000,0.00001001,0.000010
trans,0,6,0.00000000,0.00002003,0.000020
transaction,0,5,0.00000000,0.00001669,0.000017
transactional,0,4,0.00000000,0.00001335,0.000013
transactions,0,14,0.00000000,0.00004673,0.000047
transatlantic,0,1,0.00000000,0.00000334,0.000003
transboundary,0,1,0.00000000,0.00000334,0.000003
transceiver,0,1,0.00000000,0.00000334,0.000003
transcend,0,2,0.00000000,0.00000668,0.000007
transcends,0,1,0.00000000,0.00000334,0.000003
transcript,0,5,0.00000000,0.00001669,0.000017
transcription,0,3,0.00000000,0.00001001,0.000010
transcriptional,0,1,0.00000000,0.00000334,0.000003
transcriptomic,0,1,0.00000000,0.00000334,0.000003
transcriptomics,0,4,0.00000000,0.00001335,0.000013
transcultural,0,2,0.00000000,0.00000668,0.000007
transdermal,0,2,0.00000000,0.00000668,0.000007
transdisciplinary,0,13,0.00000000,0.00004339,0.000043
transduced,0,1,0.00000000,0.00000334,0.000003
transducer,0,1,0.00000000,0.00000334,0.000003
transducers,1,8,0.00026144,0.00002670,-0.000235
transduction,0,12,0.00000000,0.00004006,0.000040
transfer,1,98,0.00026144,0.00032712,0.000066
transferability,0,1,0.00000000,0.00000334,0.000003
transfers,0,4,0.00000000,0.00001335,0.000013
transfinite,0,1,0.00000000,0.00000334,0.000003
transform,0,25,0.00000000,0.00008345,0.000083
transformation,0,40,0.00000000,0.00013352,0.000134
transformational,0,1,0.00000000,0.00000334,0.000003
transformations,2,48,0.00052288,0.00016022,-0.000363
transformative,0,6,0.00000000,0.00002003,0.000020
transformed,0,9,0.00000000,0.00003004,0.000030
transformers,0,6,0.00000000,0.00002003,0.000020
transforming,0,18,0.00000000,0.00006008,0.000060
transforms,1,21,0.00026144,0.00007010,-0.000191
transgenerational,0,2,0.00000000,0.00000668,0.000007
transgression,0,1,0.00000000,0.00000334,0.000003
transgressions,0,2,0.00000000,0.00000668,0.000007
transient,0,6,0.00000000,0.00002003,0.000020
transistor,0,3,0.00000000,0.00001001,0.000010
transistors,0,11,0.00000000,0.00003672,0.000037
transit,0,3,0.00000000,0.00001001,0.000010
transition,1,35,0.00026144,0.00011683,-0.000145
transitional,0,1,0.00000000,0.00000334,0.000003
transitioning,0,1,0.00000000,0.00000334,0.000003
transitions,0,29,0.00000000,0.00009680,0.000097
transitive,0,1,0.00000000,0.00000334,0.000003
transits,0,1,0.00000000,0.00000334,0.000003
translate,0,7,0.00000000,0.00002337,0.000023
translated,0,3,0.00000000,0.00001001,0.000010
translates,0,1,0.00000000,0.00000334,0.000003
translating,0,1,0.00000000,0.00000334,0.000003
translation,0,52,0.00000000,0.00017358,0.000174
translational,0,8,0.00000000,0.00002670,0.000027
translations,0,4,0.00000000,0.00001335,0.000013
translingual,0,2,0.00000000,0.00000668,0.000007
transmedia,0,8,0.00000000,0.00002670,0.000027
transmission,1,46,0.00026144,0.00015355,-0.000108
transmit,0,2,0.00000000,0.00000668,0.000007
transmitted,0,1,0.00000000,0.00000334,0.000003
transmutation,0,6,0.00000000,0.00002003,0.000020
transmutations,0,2,0.00000000,0.00000668,0.000007
transnational,0,19,0.00000000,0.00006342,0.000063
transnationalism,0,3,0.00000000,0.00001001,0.000010
transonic,1,1,0.00026144,0.00000334,-0.000258
transparency,1,4,0.00026144,0.00001335,-0.000248
transpiration,0,1,0.00000000,0.00000334,0.000003
transplant,0,1,0.00000000,0.00000334,0.000003
transplantation,0,4,0.00000000,0.00001335,0.000013
transport,9,209,0.00235294,0.00069764,-0.001653
transportation,6,92,0.00156863,0.00030709,-0.001260
transported,0,1,0.00000000,0.00000334,0.000003
transporter,0,2,0.00000000,0.00000668,0.000007
transversal,0,2,0.00000000,0.00000668,0.000007
trap,0,1,0.00000000,0.00000334,0.000003
trapped,1,9,0.00026144,0.00003004,-0.000231
trapping,0,1,0.00000000,0.00000334,0.000003
trauma,0,8,0.00000000,0.00002670,0.000027
traumatic,0,2,0.00000000,0.00000668,0.000007
travel,0,43,0.00000000,0.00014353,0.000144
traveling,0,6,0.00000000,0.00002003,0.000020
traversed,0,1,0.00000000,0.00000334,0.000003
traverso,0,1,0.00000000,0.00000334,0.000003
treat,0,11,0.00000000,0.00003672,0.000037
treated,1,4,0.00026144,0.00001335,-0.000248
treaties,0,1,0.00000000,0.00000334,0.000003
treating,0,5,0.00000000,0.00001669,0.000017
treatise,0,1,0.00000000,0.00000334,0.000003
treatises,0,1,0.00000000,0.00000334,0.000003
treatment,1,55,0.00026144,0.00018359,-0.000078
treatments,0,11,0.00000000,0.00003672,0.000037
treats,1,11,0.00026144,0.00003672,-0.000225
treaty,0,1,0.00000000,0.00000334,0.000003
tree,0,9,0.00000000,0.00003004,0.000030
trees,0,29,0.00000000,0.00009680,0.000097
trek,0,5,0.00000000,0.00001669,0.000017
tremendous,0,1,0.00000000,0.00000334,0.000003
trending,0,1,0.00000000,0.00000334,0.000003
trends,0,36,0.00000000,0.00012017,0.000120
trex,0,2,0.00000000,0.00000668,0.000007
triads,0,2,0.00000000,0.00000668,0.000007
triage,0,1,0.00000000,0.00000334,0.000003
trial,0,4,0.00000000,0.00001335,0.000013
trials,0,7,0.00000000,0.00002337,0.000023
triangulating,0,1,0.00000000,0.00000334,0.000003
triangulation,0,2,0.00000000,0.00000668,0.000007
triantafyllou,0,8,0.00000000,0.00002670,0.000027
triathlon,0,2,0.00000000,0.00000668,0.000007
tribology,1,0,0.00026144,0.00000000,-0.000261
tribunals,0,1,0.00000000,0.00000334,0.000003
tributed,1,0,0.00026144,0.00000000,-0.000261
trick,0,1,0.00000000,0.00000334,0.000003
trigger,0,2,0.00000000,0.00000668,0.000007
trigonometric,0,1,0.00000000,0.00000334,0.000003
trinh,0,1,0.00000000,0.00000334,0.000003
trios,0,2,0.00000000,0.00000668,0.000007
trip,0,23,0.00000000,0.00007677,0.000077
